nlopt_optimizer,fitness_fn,distance_type,noise_type,noise_value,s_fu,s_fv,s_cx,s_cy,s_tx,s_ty,s_tz,s_rx,s_ry,s_rz,s_d0,s_d1,s_d2,s_d3,s_d4,t_fu,t_fv,t_cx,t_cy,t_tx,t_ty,t_tz,t_rx,t_ry,t_rz,t_d0,t_d1,t_d2,t_d3,t_d4,r_fu,r_fv,r_cx,r_cy,r_tx,r_ty,r_tz,r_rx,r_ry,r_rz,r_d0,r_d1,r_d2,r_d3,r_d4,best_fitness,duration_in_s,mean_fitting_reproj_error_col,mean_fitting_reproj_error_row,mean_fitting_reproj_error,mean_dense_reproj_error_col,mean_dense_reproj_error_row,mean_dense_reproj_error,mean_y0_reproj_error_col,mean_y0_reproj_error_row,mean_y0_reproj_error
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,710.0,390.0,300.0,0.0,2.35,8.4,0.2799999999999999,-0.01,0.0,0.0,0.1,-0.025,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.3835577892715,704.8658038451845,397.0499095401279,298.28086321428646,-0.0122085067928429,2.372368709304832,8.400777749443725,0.2831017265790097,-0.0088896059085182,-0.0001544380990699,0.0264181630868098,0.1988747719859831,-0.009744163738944,0.0351846560538034,-0.9964363740633636,12325.7578125,2.899677890000021,4.181863906837501,1.5897238405594578,4.721732579305174,3.995485200651808,1.268494838885579,4.408856980462453,4.196990945442164,1.466087842147889,4.586973031666939
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,390.0,290.0,-0.1,2.35,8.4,0.29,0.0,0.0,0.1,0.1,0.0,-0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.7474135522355,521.465706340335,391.25756634270994,290.0166164571016,-0.1986864576146079,2.3355698478338747,8.27412953260643,0.3264588373798653,0.0039571663322407,0.0017958257119915,0.1111754578854643,-0.0257039676901187,3.099547583581331e-05,-0.0102312481553356,0.4664094227485222,5966.83544921875,1.4680476409999983,20.064678033204192,28.503818996804387,38.413648782240536,19.11092179974771,16.98676719163585,27.892736041982715,18.523477138480303,32.21714873590852,38.91578505432072
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,390.0,300.0,0.0,2.25,8.4,0.29,-0.01,-0.01,0.0,0.1,-0.025,0.0,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.09014375369,665.7956275353993,389.02266436630464,300.59582655042175,0.2441614292063582,2.360593932416303,7.856668733869843,0.2893345568262405,-0.0087335912649714,0.0005289073568191,-0.0640369127019852,0.206834521005546,-0.0217402434934177,-0.0013620084213428,0.7485565179865935,12436.140625,1.4093485160000228,4.777855181334648,0.8398172950119881,4.952301638552919,4.362831833402971,1.3880106657961564,4.762774289533187,3.5541454097916723,0.7183199513691394,3.678747076118834
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,710.0,710.0,390.0,300.0,0.0,2.35,8.4,0.3,0.0,-0.01,0.0,0.0,0.0,0.01,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.3035035925886,700.6833798597929,394.6606313960868,299.3330775571992,0.0022927951560504,2.362870211912918,8.349330445579113,0.2911347781727868,0.0083628547853782,-0.010081423047008,-0.0945780531384813,0.1914334162851131,-0.0001986591224704,0.0206846847626162,-0.5624019571525778,13463.83984375,1.629254013000036,2.025494168749568,1.2256134172589035,2.688397693743973,3.288503086780195,1.4115749751074422,3.880724815381984,2.329864654924833,0.5615942998515966,2.531195828789824
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,410.0,310.0,0.0,2.45,8.5,0.3,0.0,0.0,-0.1,0.0,-0.025,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.3422304414012,-46.99955861813991,351.6947227914648,315.8985515985778,0.5392291904756532,2.130521693141886,7.569086233062114,0.3012842293537988,-0.000113652887048,0.0002587874248531,-0.0555523561659198,-0.4248719082841035,-0.0355399919618355,0.0001944698741205,0.6162184199410567,9090.9736328125,1.511177940000039,187.2815065145273,95.689877563373,222.05616378007883,130.56216106044008,110.25972948970268,186.48474496060936,118.31679231090035,64.58997210276755,143.97606320521234
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,400.0,290.0,0.0,2.35,8.4,0.3,0.0,0.01,0.1,0.0,0.0,0.01,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.3958863807268,703.9157701015458,400.8661868697545,291.0562182554514,-0.0665485625503772,2.389412533299847,8.19097818198286,0.2669300928164702,-0.0014589287858361,0.0089162255817609,0.0569811044688867,-0.274183366005544,3.524058207727247e-05,0.0156429846643666,0.4126930618515038,12639.6865234375,1.6108678090000694,1.852312115974092,2.060579308170108,3.0980083243537777,1.557865859167538,3.014884131829202,3.7178938235256034,1.985729451411556,1.3028688529274006,2.586407769048584
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,400.0,300.0,-0.1,2.35,8.3,0.3,0.0,-0.01,-0.1,0.0,0.025,-0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.9529479955964,695.7657265524671,403.25175180712654,300.3795455195909,-0.1005901152998285,2.350142309524536,8.30088242882253,0.2972592451268534,0.0013553140611999,-0.0112707154518238,-0.1384034115963534,-0.3365192572052222,0.0055536890576781,0.0166963784512441,2.8963716881515094,13341.0712890625,1.4832452570000214,1.283596055520864,1.6171925168121055,2.396359643713195,3.0133348556727704,1.7517867323361698,3.858865007920553,1.5379562364518993,1.3763439789728429,2.39450599572207
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,400.0,290.0,-0.1,2.25,8.4,0.29,0.01,-0.01,0.0,0.0,0.0,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.6436563078962,797.8349690758308,399.99659326334233,291.75905526762983,-0.0988002978650294,2.2483164093765766,8.40908473035717,0.287424465129713,0.0157498478659744,-0.002387924242427,-0.2197678170080341,0.316765601836569,-0.0061592552776725,0.0100578827039944,0.0199845488575668,8908.623046875,1.5393095299999686,3.416018887904265,12.116593634173109,13.214589709968696,2.7644783794250656,22.88104996912552,23.373495721454542,2.3603593129845457,7.234009224208372,8.296805616452897
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,400.0,310.0,0.0,2.45,8.4,0.2799999999999999,0.0,0.01,0.0,0.0,0.0,0.01,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63448.10102591887,26.660149826929644,-7008.571858501436,312.181431603732,-0.4753218038989222,6.142353781074414,8.354595650782812,0.4503313015841797,0.0045598389268324,0.0118973587555825,0.2562589681693887,-0.9065468689334032,4.039051508316399e-05,0.0131257387901605,0.4769295541999739,10442.68359375,1.652219491999972,14720.520221020532,82.4313868473595,14721.436677700747,12241.272589524124,101.04405847312728,12243.417233988148,11425.009251187485,55.00440982991362,11426.12308809671
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,400.0,310.0,0.0,2.45,8.4,0.29,0.0,0.0,-0.1,0.0,-0.025,0.01,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.4164462408727,466.71205516003135,399.9663133608832,308.99468176860404,-0.021320422711903,2.4481051361969373,8.39217226696086,0.2421429179387736,0.0069359114681704,0.0001134821229427,-0.1122878972991107,0.4194810273476658,-0.0291785647850363,0.002674549778426,0.9584257646484092,7609.7822265625,1.3736371939999117,2.0658637261194817,30.38958725219468,30.68552113034752,1.5609422756071631,45.043666020335934,45.12059985171838,1.3851318743182688,21.14867260127192,21.29801329506936
